"customer","product","count"
3401516993,"2-in-1 Conditioner (16 oz)",35
3401516993,"Hair Mask (8oz)",24
3449248641,"Yellow Styling Cream (4oz)",22
4318566977,"2-in-1 Conditioner (16 oz)",12
2769834868790,"Yellow Shampoo and Conditioner (16oz Set)",11
3401516993,"Yellow Shampoo  (16oz)",10
580107239478,"Yellow Shampoo & Conditioner (8oz Set)",10
3556871831606,"Hair Mask (8oz)",10
1074731089974,"Hair Mask (8oz)",10
580107239478,"Moisturizer (1.7oz)",9
1029666930742,"Yellow Conditioner (16oz)",8
1076396490806,"Blue Shampoo and Conditioner",8
580107239478,"Good Luck Serum (2oz)",8
1229277757494,"Yellow Conditioner (16oz)",8
252393619482,"Yellow Shampoo & Conditioner (8oz Set)",8
2944275329,"Blue Shampoo and Conditioner",8
70822952986,"2-in-1 Conditioner (16 oz)",8
136173256730,"Yellow Shampoo & Conditioner (8oz Set)",8
3125122662454,"Eye Cream (1oz)",7
545775386678,"Yellow Shampoo and Conditioner (16oz Set)",7
2891994113,"Hair Mask (8oz)",7
3437410177,"Yellow Shampoo and Conditioner (16oz Set)",7
2944275329,"Yellow Shampoo  (16oz)",7
32955400218,"Yellow Conditioner (16oz)",7
3401516993,"Hair Treatment(6oz)",7
1096777662518,"Yellow Styling Cream (4oz)",7
6802797901,"Yellow Styling Cream (4oz)",7
1029666930742,"Hair Mask (8oz)",7
551330021430,"2-in-1 Conditioner (16 oz)",7
580107239478,"Hair Mask (8oz)",7
543853838390,"Yellow Shampoo and Conditioner (16oz Set)",6
547138568246,"Blue Shampoo and Conditioner",6
6702922125,"Yellow Shampoo  (16oz)",6
1141605793846,"Yellow Shampoo and Conditioner (16oz Set)",6
1229277757494,"Yellow Shampoo  (16oz)",6
2944275329,"Yellow Conditioner (16oz)",6
207429828634,"Yellow Shampoo  (16oz)",6
580107239478,"Eye Cream (1oz)",6
1386205282358,"Blue Shampoo and Conditioner",6
30788976666,"2-in-1 Conditioner (16 oz)",6
548350001206,"Yellow Shampoo & Conditioner (8oz Set)",6
1396666073142,"Blue Shampoo and Conditioner",6
6707560397,"Yellow Shampoo  (16oz)",6
3435452737,"2-in-1 Conditioner (16 oz)",6
6584287757,"Yellow Shampoo  (16oz)",6
3222749970486,"Yellow Shampoo and Conditioner (16oz Set)",5
2944275329,"Hair Mask (8oz)",5
3321589891126,"Blue Shampoo and Conditioner",5
2838374081,"Blue Shampoo and Conditioner",5
1401898631222,"Yellow Styling Cream (4oz)",5
580107239478,"Face Mask & Polishing Scrub (4oz)",5
734792024118,"Hair Mask (8oz)",5
4508679617,"Yellow Shampoo  (16oz)",5
1396666073142,"Moisturizer (1.7oz)",5
4971864205,"Yellow Conditioner (16oz)",5
4971864205,"Yellow Shampoo  (16oz)",5
6702583757,"Yellow Shampoo & Conditioner (8oz Set)",5
6584287757,"Yellow Styling Cream (4oz)",5
1295594553398,"2-in-1 Conditioner (16 oz)",5
2838374081,"Yellow Styling Cream (4oz)",5
4261325633,"2-in-1 Conditioner (16 oz)",5
538758873142,"Yellow Styling Cream (4oz)",5
5609515341,"2-in-1 Conditioner (16 oz)",5
32955400218,"Yellow Shampoo  (16oz)",5
5771331341,"Yellow Shampoo and Conditioner (16oz Set)",5
1303440949302,"Yellow Shampoo and Conditioner (16oz Set)",5
309282308122,"Hair Mask (8oz)",5
3125122662454,"Good Luck Serum (2oz)",5
2326841589814,"Moisturizer (1.7oz)",5
5167061197,"2-in-1 Conditioner (16 oz)",5
579821895734,"Yellow Shampoo and Conditioner (16oz Set)",5
3367902117942,"Yellow Styling Cream (4oz)",5
739478503478,"Hair Mask (8oz)",5
5025694154806,"Facial (5oz)",4
580107239478,"Yellow Styling Cream (4oz)",4
521491513398,"Blue Shampoo and Conditioner",4
3545680543798,"Good Luck Serum (2oz)",4
4280286785,"Yellow Shampoo  (16oz)",4
3125122662454,"Blue Shampoo and Conditioner",4
1029804720182,"2-in-1 Conditioner (16 oz)",4
279726686234,"Yellow Styling Cream (4oz)",4
1229277757494,"Moisturizer (1.7oz)",4
4261325633,"Yellow Conditioner (16oz)",4
1386205282358,"Yellow Styling Cream (4oz)",4
1372984016950,"Blue Shampoo and Conditioner",4
6404498061,"2-in-1 Conditioner (16 oz)",4
745660284982,"Yellow Shampoo  (16oz)",4
30788976666,"Yellow Shampoo and Conditioner (16oz Set)",4
3058998968374,"Yellow Shampoo and Conditioner (16oz Set)",4
1448368209974,"Yellow Conditioner (16oz)",4
5323330253,"Yellow Shampoo  (16oz)",4
2721467662390,"Hair Mask (8oz)",4
177586044954,"Yellow Shampoo and Conditioner (16oz Set)",4
5771331341,"Yellow Shampoo  (16oz)",4
1047071555638,"Yellow Shampoo  (16oz)",4
503205036086,"Yellow Shampoo  (16oz)",4
4971864205,"Yellow Styling Cream (4oz)",4
541504864310,"Yellow Shampoo  (16oz)",4
1082699186230,"Yellow Shampoo  (16oz)",4
3390332796982,"Moisturizer (1.7oz)",4
563875938358,"Yellow Conditioner (16oz)",4
3153750491190,"Hair Mask (8oz)",4
2670204878902,"Yellow Shampoo and Conditioner (16oz Set)",4
6532429197,"2-in-1 Conditioner (16 oz)",4
1145467207734,"Moisturizer (1.7oz)",4
551330021430,"Yellow Conditioner (16oz)",4
1339421950006,"Yellow Conditioner (16oz)",4
1055711330358,"Yellow Shampoo and Conditioner (16oz Set)",4
547138568246,"2-in-1 Conditioner (16 oz)",4
6378748493,"Moisturizer (1.7oz)",4
1025290272822,"Good Luck Serum (2oz)",4
4751082765,"Yellow Conditioner (16oz)",4
2723966091318,"Yellow Shampoo  (16oz)",4
4280286785,"Yellow Conditioner (16oz)",4
6378748493,"Yellow Shampoo and Conditioner (16oz Set)",4
3585887797302,"Facial (5oz)",4
2944275329,"Yellow Styling Cream (4oz)",4
3240606593,"Yellow Shampoo  (16oz)",4
580107239478,"Facial (5oz)",4
1401149194294,"2-in-1 Conditioner (16 oz)",4
559401304118,"Yellow Shampoo  (16oz)",4
3122667649,"2-in-1 Conditioner (16 oz)",4
586717593654,"Yellow Shampoo and Conditioner (16oz Set)",4
6380377229,"Blue Shampoo and Conditioner",4
3569039835190,"Yellow Styling Cream (4oz)",4
5251233382454,"Yellow Styling Cream (4oz)",4
5025694154806,"Good Luck Serum (2oz)",4
3123641253942,"Yellow Shampoo and Conditioner (16oz Set)",4
565442150454,"Blue Shampoo and Conditioner",4
1023792873526,"Yellow Shampoo and Conditioner (16oz Set)",4
6378748493,"Yellow Shampoo  (16oz)",4
559442001974,"2-in-1 Conditioner (16 oz)",4
5771331341,"Yellow Conditioner (16oz)",4
32859422746,"Yellow Shampoo & Conditioner (8oz Set)",4
3367902117942,"Yellow Conditioner (16oz)",4
1141605793846,"Yellow Conditioner (16oz)",4
1196289916982,"Blue Shampoo and Conditioner",4
70822952986,"Yellow Conditioner (16oz)",4
3393852670006,"Red Shampoo and Body Wash (8oz)",4
6404498061,"Hair Mask (8oz)",4
532960968758,"2-in-1 Conditioner (16 oz)",4
158570545178,"Yellow Shampoo  (16oz)",4
563875938358,"Yellow Shampoo  (16oz)",3
6378748493,"Yellow Conditioner (16oz)",3
2944096534582,"Good Luck Serum (2oz)",3
3437410177,"Yellow Conditioner (16oz)",3
3122667649,"Yellow Shampoo & Conditioner (8oz Set)",3
735375261750,"2-in-1 Conditioner (16 oz)",3
240375627802,"Yellow Shampoo  (16oz)",3
49074929690,"Yellow Shampoo & Conditioner (8oz Set)",3
1362462146614,"Blue Shampoo and Conditioner",3
5273330745398,"Blue Shampoo and Conditioner",3
559401304118,"Yellow Shampoo & Conditioner (8oz Set)",3
3046809436214,"Eye Cream (1oz)",3
