,Product,Avg Purchase Frequency
0,2-in-1 Conditioner (16 oz),162.4239417989418
1,Hair Mask (8oz),268.170171957672
2,Yellow Shampoo & Conditioner (8oz Set),306.95489417989415
3,Yellow Styling Cream (4oz),425.04793169793163
4,Yellow Conditioner (16oz),571.0406565656565
5,Yellow Shampoo  (16oz),798.2720057720057
6,Blue Shampoo and Conditioner,882.0826539201538
7,Yellow Shampoo and Conditioner (16oz Set),1033.857762145262
8,Eye Cream,1033.857762145262
9,Facial (5oz),1047.2049843674843
10,Moisturizer (1.7oz),1084.945725108225
11,Hair Treatment(6oz),1087.3187409812408
12,Red Shampoo and Body Wash (8oz),1088.6937409812408
13,Face Mask & Polishing Scrub (4oz),1091.2159632034632
14,Good Luck Serum (2oz),1105.5826298701297
15,Eye Cream (1oz),1112.2096139971138
