,Product,Avg Purchase Frequency
0,2-in-1 Conditioner (16 oz),116.66309523809522
1,Hair Mask (8oz),253.75630952380953
2,Yellow Shampoo & Conditioner (8oz Set),316.06880952380953
3,Yellow Styling Cream (4oz),438.11127705627706
4,Yellow Conditioner (16oz),521.2231818181818
5,Yellow Shampoo  (16oz),704.2646103896103
6,Blue Shampoo and Conditioner,772.8987770562769
7,Yellow Shampoo and Conditioner (16oz Set),888.6939718614716
8,Eye Cream,888.6939718614716
9,Facial (5oz),888.6939718614716
10,Moisturizer (1.7oz),907.227305194805
11,Hair Treatment(6oz),911.4987337662336
12,Red Shampoo and Body Wash (8oz),911.4987337662336
13,Face Mask & Polishing Scrub (4oz),916.0387337662336
14,Good Luck Serum (2oz),926.1237337662336
15,Eye Cream (1oz),938.0523051948051
